ID	Bin	TaxonRelativeAbundance	Domain	Phylum	Class	Order	Family	Species
OTU_DN_18550	Bin3	1.158091002791e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_14726	Bin3	1.89498477064972e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_7816	Bin3	8.50352765666545e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_16646	Bin3	2.74310041667695e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2001	Bin3	5.43527296327242e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_7630	Bin3	3.49346042779608e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium
EF018926.1.1368	Bin3	3.14862544491677e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_15120	Bin3	1.08191062647205e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_12509	Bin3	5.23245166522774e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
KJ540651.1.1415	Bin3	3.61336955667553e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium
OTU_DN_15477	Bin3	8.85794513388784e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_19882	Bin3	1.34813130991811e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
JX105604.1.1456	Bin3	3.85243541186415e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_16479	Bin3	3.76512007552076e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3509	Bin3	9.55732760673694e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_12411	Bin3	3.17258320202852e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_15376	Bin3	2.12221597044851e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_19253	Bin3	3.97143742206054e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_13191	Bin3	1.12898673440587e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5146	Bin3	5.23245166522774e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_15015	Bin3	2.34532576574886e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_17186	Bin3	8.44298585120269e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3618	Bin3	2.87968416557482e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_4518	Bin3	7.92537467208762e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2763	Bin3	7.5589217953951e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_13370	Bin3	7.92537467208762e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_12095	Bin3	5.58665459949273e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_6807	Bin3	7.5589217953951e-07	Bacteria	Parcubacteria	NA	NA	NA	NA
OTU_DN_15285	Bin3	1.56355051049924e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_11882	Bin3	7.92537467208762e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium
OTU_DN_18315	Bin3	1.51178435907902e-06	Bacteria	Parcubacteria	Candidatus Nomurabacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_16343	Bin3	1.77158902677757e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
