"SpeciesID"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Species"
"146"	"OTU_DN_8426"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"147"	"OTU_DN_2459"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"148"	"OTU_DN_18550"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"149"	"OTU_DN_14726"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"150"	"OTU_DN_7816"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"151"	"OTU_DN_16646"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"152"	"OTU_DN_2001"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"153"	"OTU_DN_7630"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured Parcubacteria group bacterium"	"uncultured Parcubacteria group bacterium"	"uncultured Parcubacteria group bacterium"
"154"	"EF018926.1.1368"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"155"	"OTU_DN_15120"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"156"	"OTU_DN_12509"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"157"	"KJ540651.1.1415"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured Parcubacteria group bacterium"	"uncultured Parcubacteria group bacterium"	"uncultured Parcubacteria group bacterium"
"158"	"OTU_DN_15477"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"159"	"OTU_DN_19882"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"160"	"JX105604.1.1456"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"161"	"OTU_DN_16479"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"162"	"OTU_DN_3509"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"163"	"OTU_DN_12411"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"164"	"OTU_DN_15376"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"165"	"OTU_DN_19253"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"166"	"OTU_DN_13191"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"167"	"OTU_DN_5146"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"168"	"OTU_DN_15015"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"169"	"OTU_DN_17186"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"170"	"OTU_DN_3618"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"171"	"OTU_DN_4518"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"172"	"OTU_DN_2763"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"173"	"OTU_DN_13370"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"174"	"OTU_DN_12095"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"175"	"OTU_DN_6807"	"Bacteria"	"Parcubacteria"	NA	NA	NA	NA
"176"	"OTU_DN_15285"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"177"	"OTU_DN_11882"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured Parcubacteria group bacterium"	"uncultured Parcubacteria group bacterium"	"uncultured Parcubacteria group bacterium"
