OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
OTU_dn_1991	0	0	1	2	2	1	2	0	0	2	0	0	0	0	1	0	1	1	0	1	1	2	0	1	1	0	0	0	1	0	1	0	0	1	2	0
GU225979.1.1472	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_dn_5360	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	3	2	3	0	0	2	0	1	0	0	0	0
AB672192.1.1431	0	0	1	0	3	1	2	0	4	2	9	3	6	2	0	0	1	1	3	3	5	6	0	0	1	4	4	12	0	1	3	2	4	3	2	4
OTU_dn_5288	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_dn_870	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	2	1	3	2	1
OTU_dn_1815	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	1	1	0	2	0	0	0	0	0	2	1	0	1	0
KF712561.1.1487	0	0	1	1	0	0	0	1	1	0	5	1	1	0	0	8	3	1	0	0	0	1	1	1	2	1	1	0	0	1	0	1	0	0	0	0
EU135537.1.1406	0	0	1	4	0	3	3	1	1	1	5	4	1	6	4	5	3	0	3	2	2	5	0	3	0	1	1	0	3	3	6	0	8	8	16	9
CU922617.1.1306	0	0	2	0	0	0	1	0	1	0	1	1	0	4	1	2	1	0	1	1	1	0	1	0	1	0	1	3	3	3	0	0	0	3	1	2
OTU_dn_3416	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HADI01038061.7.1452	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	4	0	0	1	0	1	0	0	0	0	0	0
JQ675481.1.1314	0	0	1	0	4	2	3	5	5	3	2	2	3	3	2	3	1	1	5	3	0	4	5	0	3	0	0	1	3	2	2	1	2	3	0	3
OTU_dn_2574	0	0	1	0	0	0	0	1	0	3	1	0	0	4	2	0	1	0	1	1	0	0	2	0	0	0	1	0	1	0	0	1	9	8	4	8
OTU_dn_4657	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0
OTU_dn_1157	0	0	1	0	0	0	1	0	1	0	2	0	1	0	2	0	2	0	1	1	2	1	3	3	0	1	0	0	0	0	0	0	2	0	0	0
OTU_dn_5420	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_dn_441	0	0	1	0	9	5	1	2	7	0	3	2	1	11	2	5	11	0	2	3	13	1	1	4	5	3	5	10	4	2	6	5	6	6	13	7
OTU_dn_3665	0	0	1	2	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB522686.1.1486	0	0	3	0	1	1	1	0	0	1	0	0	3	0	0	2	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
EF368008.1.1381	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5394	0	0	1	0	4	1	2	0	0	2	1	2	3	0	0	1	3	0	2	2	1	1	0	1	1	1	2	4	1	1	2	1	3	1	3	0
OTU_dn_1366	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	2	7	3
OTU_dn_3562	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HE818638.1.1500	0	0	1	0	1	0	2	1	2	0	3	3	5	4	1	2	7	5	6	4	4	1	2	0	3	5	1	1	0	0	0	0	1	5	2	4
DQ231244.1.1406	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	1	2	0	0
GQ007729.1.1371	0	0	1	0	0	1	1	0	1	1	0	2	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	5	1	0	1	0	1	4	0	2
OTU_dn_5922	0	0	4	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1
GQ302525.1.1456	0	0	1	0	1	0	0	0	1	0	4	2	3	1	2	1	3	2	1	0	1	0	0	1	1	1	1	0	0	3	1	4	1	2	5	0
EF516469.1.1255	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_dn_4225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	1	2	5
OTU_dn_3674	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5517	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1
DQ298000.1.1435	0	0	1	0	2	1	0	1	3	2	3	9	5	8	5	2	6	4	8	4	4	4	6	0	2	4	7	2	1	1	3	1	4	5	1	9
OTU_dn_1042	0	0	1	0	0	0	0	0	0	0	1	1	0	3	1	0	2	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	11	10	9	10
OTU_dn_5570	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_4682	0	0	1	0	2	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	2	2	0	1
OTU_dn_4292	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	20	0	1	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0
OTU_dn_5852	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2450	0	0	2	1	0	0	0	1	0	1	0	2	0	1	4	0	1	1	1	0	1	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0
OTU_dn_5133	0	0	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
AY922092.1.1346	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	2
OTU_dn_5239	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1107	0	0	1	0	0	0	3	0	0	0	0	0	1	4	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	5	0	2
EU134008.1.1321	0	0	1	2	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	1	2	1	0	1	0	1	8	3	5	3
OTU_dn_2648	0	0	2	0	0	0	1	0	1	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	19	3	1	3
OTU_dn_4584	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	2	0	2	0	0	2	0	0	1	0	1	0	1
DQ066976.1.1323	0	0	1	0	1	0	0	1	2	2	3	0	1	3	2	0	3	1	4	1	1	0	0	0	0	0	4	3	0	4	3	0	8	6	2	3
OTU_dn_4782	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	2	0	2
JN038942.1.1513	0	0	1	1	0	0	0	0	0	0	0	2	1	1	2	1	0	0	0	1	0	0	0	0	0	3	0	0	2	1	0	1	7	6	3	3
OTU_dn_4692	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
KC122704.1.1355	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	0	2	1	1	1	0	0	0	2	8	0	0	1	0	0	0	0
OTU_dn_5201	0	0	2	0	0	0	0	0	4	0	1	2	2	2	2	1	2	0	2	3	3	1	3	0	0	0	1	0	1	0	2	0	2	6	6	6
EF019719.1.1374	0	0	1	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	6	8	3	5
OTU_dn_1295	0	0	2	0	2	0	0	0	2	3	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	2	5	0	0	0	0	0	6	1	2	3
OTU_dn_2641	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	2	0	0	0	1	1	2	0	4	2	1	0	4	0	0	1	0	0	0	0
